parse_unit_id,canonical_index
﻿Narrative setup: Ten maidens took their lamps and went to meet the bridegroom.,0
"Contrast statement: Five of them were foolish, and five were wise.",1
"Possession contrast: For when the foolish took their lamps, they took no oil with them; but the wise took flasks of oil with their lamps.",2
"Delay and sleep: As the bridegroom was delayed, they all slumbered and slept.",4
"Alarm event: But at midnight there was a cry: “Behold, the bridegroom! Come out to meet him.”",5
Preparation reaction: Then all those maidens rose and trimmed their lamps.,6
"Request and plea: And the foolish said to the wise, “Give us some of your oil, for our lamps are going out.”",7
"Refusal and advice: But the wise replied, “Perhaps there will not be enough for us and for you; go rather to the dealers and buy for yourselves.”",8
"Outcome and exclusion: And while they went to buy, the bridegroom came, and those who were ready went in with him to the marriage feast, and the door was shut.",9
"Aftermath and denial: Afterward the other maidens came also, saying, “Lord, lord, open to us.” But he replied, ""Truly, I say to you, I do not know you.”",10
